ProductName,Category,Price,SafetyRating,PopularityScore,Description
Apple Ipad Air,Electronics,$305.15,Caution,10,State-of-the-art Apple Ipad Air for the tech-savvy user.
Robot,Electronics,$364.32,Caution,9.5,State-of-the-art Robot for the tech-savvy user.
Portable Campfire,General,$94.58,Caution,9.1,The Portable Campfire is a versatile gift for everyone.
Skateboard,Board Games & Puzzles,$35.39,Safe,9.1,Challenge your mind and friends with this engaging Skateboard.
Interactive Storybook Projector,Books,$25.80,Caution,9.1,Immerse yourself in stories with this Interactive Storybook Projector.
Smart Fitness Tracker,Sports & Outdoors,$76.68,Safe,8.9,Get active and stay fit with this high-performance Smart Fitness Tracker.
Mini Espresso Maker,Arts & Crafts,$63.06,Safe,8.8,Unleash your creativity with the Mini Espresso Maker.
3D Printing Pen,Arts & Crafts,$27.84,Safe,8.8,Unleash your creativity with the 3D Printing Pen.
Customizable Neon Sign,General,$52.89,Caution,8.8,The Customizable Neon Sign is a versatile gift for everyone.
Indoor Herb Garden Kit,Arts & Crafts,$51.76,Safe,8.8,Unleash your creativity with the Indoor Herb Garden Kit.
Programmable Led Message Board,Board Games & Puzzles,$49.73,Caution,8.8,Challenge your mind and friends with this engaging Programmable Led Message Board.
Teddy Bear,Dolls & Plush,$16.75,Safe,8.8,"Soft and cuddly Teddy Bear, perfect for hugs and imaginative play."
Wireless Charging Pad,General,$78.92,Caution,8.7,The Wireless Charging Pad is a versatile gift for everyone.
Smart Home Assistant,Arts & Crafts,$60.14,Safe,8.7,Unleash your creativity with the Smart Home Assistant.
Small Stoneware Vase,General,$96.88,Safe,8.6,The Small Stoneware Vase is a versatile gift for everyone.
Mini Drone,Electronics,$160.28,Caution,8.6,State-of-the-art Mini Drone for the tech-savvy user.
Desktop Air Purifier,Electronics,$103.14,Caution,8.6,State-of-the-art Desktop Air Purifier for the tech-savvy user.
Smart Water Bottle,Arts & Crafts,$52.79,Safe,8.5,Unleash your creativity with the Smart Water Bottle.
Compact Sewing Machine,Arts & Crafts,$60.79,Safe,8.5,Unleash your creativity with the Compact Sewing Machine.
Bicycle,General,$75.67,Caution,8.5,The Bicycle is a versatile gift for everyone.
Smartphone Tripod,Arts & Crafts,$54.69,Safe,8.5,Unleash your creativity with the Smartphone Tripod.
Miniverse Make It Mini Food Kits,Arts & Crafts,$79.89,Safe,8.5,Unleash your creativity with the Miniverse Make It Mini Food Kits.
Virtual Pet Robot,Electronics,$217.57,Caution,8.4,State-of-the-art Virtual Pet Robot for the tech-savvy user.
Toy Car,General,$20.52,Safe,8.4,The Toy Car is a versatile gift for everyone.
Foldable Travel Backpack,General,$41.98,Safe,8.3,The Foldable Travel Backpack is a versatile gift for everyone.
Amazon Fire Hd 10 Kids Pro,General,$56.68,Caution,8.3,The Amazon Fire Hd 10 Kids Pro is a versatile gift for everyone.
Rechargeable Hand Warmer,General,$61.58,Caution,8.3,The Rechargeable Hand Warmer is a versatile gift for everyone.
Skullcandy Dime 2 In-Ear Wireless Earbuds,General,$63.76,Caution,8.3,The Skullcandy Dime 2 In-Ear Wireless Earbuds is a versatile gift for everyone.
The Clearly Impossible Puzzle,Board Games & Puzzles,$45.08,Safe,8.3,Challenge your mind and friends with this engaging The Clearly Impossible Puzzle.
Barbie Dreamhouse,Dolls & Plush,$41.38,Safe,8.3,"Soft and cuddly Barbie Dreamhouse, perfect for hugs and imaginative play."
Harry Potter Crookshanks Plush,Dolls & Plush,$15.31,Safe,8.3,"Soft and cuddly Harry Potter Crookshanks Plush, perfect for hugs and imaginative play."
Live Christmas Tree (Norfolk Island Pine),General,$71.60,Safe,8.3,The Live Christmas Tree (Norfolk Island Pine) is a versatile gift for everyone.
Ceramic Piggybank Nursery Keepsake,General,$99.64,Safe,8.2,The Ceramic Piggybank Nursery Keepsake is a versatile gift for everyone.
Furby Furblets,Dolls & Plush,$53.84,Safe,8.2,"Soft and cuddly Furby Furblets, perfect for hugs and imaginative play."
Wireless Gaming Mouse,General,$93.70,Caution,8.1,The Wireless Gaming Mouse is a versatile gift for everyone.
Apple Watch,Electronics,$375.36,Caution,8.1,State-of-the-art Apple Watch for the tech-savvy user.
Samsung Galaxy Tab A9+,General,$35.32,Caution,8.1,The Samsung Galaxy Tab A9+ is a versatile gift for everyone.
Mechanical Keyboard,Board Games & Puzzles,$22.41,Caution,8.1,Challenge your mind and friends with this engaging Mechanical Keyboard.
Multi-Tool Pocket Knife,General,$75.04,Restricted,8,The Multi-Tool Pocket Knife is a versatile gift for everyone.
Harry Potter Wand,General,$26.01,Safe,8,The Harry Potter Wand is a versatile gift for everyone.
Minnie Mouse Hat And Mittens,General,$96.83,Caution,8,The Minnie Mouse Hat And Mittens is a versatile gift for everyone.
Portable Bluetooth Speaker,Electronics,$115.96,Caution,8,State-of-the-art Portable Bluetooth Speaker for the tech-savvy user.
Lego Star Wars Set,Arts & Crafts,$58.02,Safe,8,Unleash your creativity with the Lego Star Wars Set.
Pom Pom Beanie With Led Light,General,$84.72,Caution,8,The Pom Pom Beanie With Led Light is a versatile gift for everyone.
Book,Books,$28.29,Safe,8,Immerse yourself in stories with this Book.
Heated Blanket With Remote,General,$52.17,Caution,8,The Heated Blanket With Remote is a versatile gift for everyone.
Virtual Reality Headset,Electronics,$164.28,Caution,7.9,State-of-the-art Virtual Reality Headset for the tech-savvy user.
Magnetic Levitating Globe,General,$80.65,Safe,7.8,The Magnetic Levitating Globe is a versatile gift for everyone.
Desktop Bonsai Tree Kit,Arts & Crafts,$34.69,Safe,7.8,Unleash your creativity with the Desktop Bonsai Tree Kit.
Funko Pop! Figures (Nba,Dolls & Plush,$53.63,Safe,7.8,"Soft and cuddly Funko Pop! Figures (Nba, perfect for hugs and imaginative play."
Marvel,General,$81.68,Safe,7.8,The Marvel is a versatile gift for everyone.
Lego Creator 3-In-1 Mighty Dinosaurs,Arts & Crafts,$36.92,Safe,7.8,Unleash your creativity with the Lego Creator 3-In-1 Mighty Dinosaurs.
Mlb,General,$20.14,Safe,7.8,The Mlb is a versatile gift for everyone.
Transformers Authentics Optimus Prime,General,$34.02,Safe,7.8,The Transformers Authentics Optimus Prime is a versatile gift for everyone.
Yellow Dress-Up Set,General,$38.10,Safe,7.8,The Yellow Dress-Up Set is a versatile gift for everyone.
Rc Controlled Paper Airplane Kit,Arts & Crafts,$23.44,Caution,7.7,Unleash your creativity with the Rc Controlled Paper Airplane Kit.
Eco-Friendly Reusable Notebook,Books,$23.19,Safe,7.7,Immerse yourself in stories with this Eco-Friendly Reusable Notebook.
Solar-Powered Phone Charger,Electronics,$261.82,Caution,7.6,State-of-the-art Solar-Powered Phone Charger for the tech-savvy user.
E.L.F. Halo Glow Liquid Filter,General,$47.66,Safe,7.6,The E.L.F. Halo Glow Liquid Filter is a versatile gift for everyone.
Apple Ipad (10Th Generation),Electronics,$151.49,Caution,7.6,State-of-the-art Apple Ipad (10Th Generation) for the tech-savvy user.
Rainbow Loom Charm Bracelet Kit,Arts & Crafts,$71.85,Safe,7.6,Unleash your creativity with the Rainbow Loom Charm Bracelet Kit.
Our Generation Siberian Husky Plush,Dolls & Plush,$20.46,Safe,7.6,"Soft and cuddly Our Generation Siberian Husky Plush, perfect for hugs and imaginative play."
Temporary Tattoo Markers Kit,Arts & Crafts,$74.89,Safe,7.6,Unleash your creativity with the Temporary Tattoo Markers Kit.
Out To Impress Jewelry Set,General,$89.54,Safe,7.6,The Out To Impress Jewelry Set is a versatile gift for everyone.
Video Game,Board Games & Puzzles,$45.97,Safe,7.5,Challenge your mind and friends with this engaging Video Game.
Alex Glow Sketch It Nail Pens,Arts & Crafts,$77.46,Safe,7.5,Unleash your creativity with the Alex Glow Sketch It Nail Pens.
Surprise Toy Bath Bombs,General,$22.60,Safe,7.5,The Surprise Toy Bath Bombs is a versatile gift for everyone.
Led Light-Up Sneakers,General,$30.70,Caution,7.5,The Led Light-Up Sneakers is a versatile gift for everyone.
X-Shot Excel Reflex 6 Blaster,General,$69.97,Caution,7.4,The X-Shot Excel Reflex 6 Blaster is a versatile gift for everyone.
Portable Projector,General,$69.51,Caution,7.4,The Portable Projector is a versatile gift for everyone.
Noise-Cancelling Headphones,Electronics,$88.75,Caution,7.4,State-of-the-art Noise-Cancelling Headphones for the tech-savvy user.
Wake Up Light Sunrise Alarm Clock,General,$50.92,Caution,7.4,The Wake Up Light Sunrise Alarm Clock is a versatile gift for everyone.
Customized Photo Puzzle,Board Games & Puzzles,$17.68,Safe,7.4,Challenge your mind and friends with this engaging Customized Photo Puzzle.
Electric Scooter,Sports & Outdoors,$80.57,Caution,7.3,Get active and stay fit with this high-performance Electric Scooter.
Vintage-Style Typewriter Keyboard,Board Games & Puzzles,$48.91,Caution,7.3,Challenge your mind and friends with this engaging Vintage-Style Typewriter Keyboard.
Squishmallows (Hello Kitty,Arts & Crafts,$62.09,Safe,7.3,Unleash your creativity with the Squishmallows (Hello Kitty.
